timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697729418260,30035,Login-0,302,,Load Test  2-5,,true,,423,746,16,157,http://localhost:8081/authenticate,30035,0,2
1697729448296,6,Login-1,200,,Load Test  2-5,text,true,,10695,451,16,157,http://localhost:8081/login?error,6,0,0
1697729448303,11,Create Post,500,,Load Test  2-5,text,false,Status code should be 200,656,581,16,157,http://localhost:8081/api/post/auth/creator,10,0,0
1697729448315,12,Delete Post,400,,Load Test  2-5,text,false,Status code should be 200,800,601,16,157,http://localhost:8081/api/post/auth/manager?postId=,12,0,2
1697729418555,30192,Register Random User,500,,Load Test  2-18,text,false,Status code should be 200,773,677,16,157,http://localhost:8081/api/users/,30192,0,2
1697729418676,30197,Register Random User,500,,Stress Test  1-71,text,false,Status code should be 200,773,677,91,157,http://localhost:8081/api/users/,30197,0,1
1697729418722,30232,Register Random User,500,,Stress Test  1-69,text,false,Status code should be 200,773,677,90,156,http://localhost:8081/api/users/,30232,0,3
1697729418916,30038,Create Post,500,,Load Test  2-2,text,false,Status code should be 200,773,581,15,156,http://localhost:8081/api/post/auth/creator,30038,0,2
1697729448955,10,Delete Post,400,,Load Test  2-2,text,false,Status code should be 200,800,591,15,155,http://localhost:8081/api/post/auth/manager?postId=,9,0,1
1697729418781,30219,Register Random User,500,,Stress Test  1-75,text,false,Status code should be 200,773,677,89,155,http://localhost:8081/api/users/,30219,0,2
1697729418831,30202,Register Random User,500,,Stress Test  1-77,text,false,Status code should be 200,773,677,88,154,http://localhost:8081/api/users/,30201,0,2
1697729419015,30050,Login,200,,Spike Test  4-80,text,false,"Responce body as text should contain ""LOGOUT""",11118,1193,41,153,http://localhost:8081/login?error,30042,0,0
1697729419015,30042,Login-0,302,,Spike Test  4-80,,true,,423,742,41,153,http://localhost:8081/authenticate,30042,0,0
1697729449058,7,Login-1,200,,Spike Test  4-80,text,true,,10695,451,41,153,http://localhost:8081/login?error,7,0,0
1697729418822,30244,Register Random User,500,,Spike Test  4-97,text,false,Status code should be 200,773,677,40,152,http://localhost:8081/api/users/,30244,0,1
1697729419023,30200,Register Random User,500,,Load Test  2-9,text,false,Status code should be 200,773,677,15,151,http://localhost:8081/api/users/,30200,0,2
1697729390361,58941,Login,500,,Stress Test  1-43,text,false,Status code should be 200,1185,1182,87,150,http://localhost:8081/,28919,0,0
1697729390361,28919,Login-0,302,,Stress Test  1-43,,true,,412,742,87,150,http://localhost:8081/authenticate,28919,0,0
1697729419279,30023,Login-1,500,,Stress Test  1-43,text,false,,773,440,87,150,http://localhost:8081/,30023,0,0
1697729419395,30033,Login,200,,Spike Test  4-79,text,false,"Responce body as text should contain ""LOGOUT""",11118,1189,39,149,http://localhost:8081/login?error,30026,0,0
1697729419395,30026,Login-0,302,,Spike Test  4-79,,true,,423,738,39,149,http://localhost:8081/authenticate,30026,0,0
1697729449422,6,Login-1,200,,Spike Test  4-79,text,true,,10695,451,39,149,http://localhost:8081/login?error,6,0,0
1697729419450,30027,Create Post,500,,Stress Test  1-46,text,false,Status code should be 200,773,581,86,148,http://localhost:8081/api/post/auth/creator,30027,0,2
1697729390724,58973,Login,500,,Stress Test  1-42,text,false,Status code should be 200,1185,1150,85,148,http://localhost:8081/,28948,0,0
1697729390724,28948,Login-0,302,,Stress Test  1-42,,true,,412,710,85,148,http://localhost:8081/authenticate,28948,0,0
1697729419672,30025,Login-1,500,,Stress Test  1-42,text,false,,773,440,85,148,http://localhost:8081/,30024,0,0
1697729419561,30215,Register Random User,500,,Spike Test  4-96,text,false,Status code should be 200,773,677,39,147,http://localhost:8081/api/users/,30214,0,2
1697729419655,30197,Register Random User,500,,Stress Test  1-10,text,false,Status code should be 200,773,677,84,146,http://localhost:8081/api/users/,30197,0,1
1697729419813,30040,Login,200,,Stress Test  1-26,text,false,"Responce body as text should contain ""LOGOUT""",11118,1197,84,146,http://localhost:8081/login?error,30033,0,0
1697729419813,30033,Login-0,302,,Stress Test  1-26,,true,,423,746,84,146,http://localhost:8081/authenticate,30033,0,0
1697729449847,6,Login-1,200,,Stress Test  1-26,text,true,,10695,451,84,146,http://localhost:8081/login?error,6,0,0
1697729449854,11,Create Post,500,,Stress Test  1-26,text,false,Status code should be 200,656,581,84,146,http://localhost:8081/api/post/auth/creator,10,0,0
1697729449868,11,Delete Post,400,,Stress Test  1-26,text,false,Status code should be 200,800,593,84,146,http://localhost:8081/api/post/auth/manager?postId=,10,0,2
1697729420357,30020,Create Post,500,,Stress Test  1-99,text,false,Status code should be 200,773,581,84,147,http://localhost:8081/api/post/auth/creator,30020,0,0
1697729420311,30180,Register Random User,500,,Spike Test  4-95,text,false,Status code should be 200,773,677,39,146,http://localhost:8081/api/users/,30179,0,2
1697729420496,30184,Register Random User,500,,Stress Test  1-83,text,false,Status code should be 200,773,677,83,145,http://localhost:8081/api/users/,30183,0,2
